endid,endname,end_lat,end_long,geometry,zipcode
13216,State St & 33rd St,41.834736,-87.62582,POINT (-87.62582 41.834736),60612
13217,Calumet Ave & 33rd St,41.8349,-87.61793,POINT (-87.61793 41.8349),60616
13221,Wood St & Milwaukee Ave,41.907654,-87.672554,POINT (-87.67255400000001 41.907654),60622
13224,Ashland Ave & Blackhawk St,41.907066,-87.66725,POINT (-87.66725 41.907066),60612
13229,Southport Ave & Belmont Ave,41.939476,-87.66375,POINT (-87.66374999999999 41.939476),60657
13235,Southport Ave & Waveland Ave,41.94815,-87.66394,POINT (-87.66394 41.94815),60613
13241,Western Ave & Division St,41.902893,-87.687454,POINT (-87.687454 41.902893),60622
13242,Milwaukee Ave & Rockwell St,41.920197,-87.69266,POINT (-87.69266 41.920197),60647
13243,Milwaukee Ave & Wabansia Ave,41.91262,-87.68128,POINT (-87.68128 41.91262),60647
13245,Claremont Ave & Hirsch St,41.907963,-87.685905,POINT (-87.68590500000001 41.907963),60622
13247,Ashland Ave & Chicago Ave,41.895966,-87.66775,POINT (-87.66775 41.895966),60622
13248,Ashland Ave & Augusta Blvd,41.899643,-87.6677,POINT (-87.6677 41.899643),60622
13249,Ashland Ave & Belle Plaine Ave,41.95606,-87.66884,POINT (-87.66884 41.95606),60613
13253,Lincoln Ave & Waveland Ave,41.948868,-87.67512,POINT (-87.67512000000001 41.948868),60613
13256,California Ave & Division St,41.90303,-87.69747,POINT (-87.69747 41.90303),60622
13257,Campbell Ave & North Ave,41.910534,-87.68955,POINT (-87.68955 41.910534),60647
13258,California Ave & North Ave,41.91044,-87.6972,POINT (-87.6972 41.91044),60647
13259,California Ave & Francis Pl (Temp),41.91849,-87.697426,POINT (-87.69742599999999 41.91849),60647
13263,Columbus Dr & Randolph St,41.884727,-87.61952,POINT (-87.61951999999999 41.884727),60601
13265,Kingsbury St & Erie St,41.893806,-87.6417,POINT (-87.6417 41.893806),60654
13266,Stave St & Armitage Ave,41.91778,-87.691444,POINT (-87.691444 41.91778),60647
13268,Damen Ave & Wellington Ave,41.935905,-87.67848,POINT (-87.67847999999999 41.935905),60618
13269,Ashland Ave & Wellington Ave,41.936085,-87.66981,POINT (-87.66981 41.936085),60657
13271,Damen Ave & Clybourn Ave,41.93193,-87.67786,POINT (-87.67786 41.93193),60647
13276,Stockton Dr & Wrightwood Ave,41.93138,-87.63873,POINT (-87.63873 41.93138),60614
13277,Broadway & Belmont Ave,41.94013,-87.645645,POINT (-87.645645 41.94013),60657
13278,Broadway & Cornelia Ave,41.94553,-87.64644,POINT (-87.64644 41.94553),60657
13285,Wood St & Taylor St (Temp),41.869267,-87.67373,POINT (-87.67373000000001 41.869267),60612
13288,Damen Ave & Charleston St,41.920082,-87.67786,POINT (-87.67786 41.920082),60647
13289,Eckhart Park,41.896374,-87.66098,POINT (-87.66098 41.896374),60642
13290,Noble St & Milwaukee Ave,41.900703,-87.662506,POINT (-87.66250599999999 41.900703),60642
13292,Kedzie Ave & Palmer Ct,41.921528,-87.7074,POINT (-87.70740000000001 41.921528),60647
13294,Greenview Ave & Diversey Pkwy,41.932602,-87.666016,POINT (-87.666016 41.932602),60614
13296,Ashland Ave & Wrightwood Ave,41.928886,-87.6685,POINT (-87.66849999999999 41.928886),60614
13300,Lake Shore Dr & Monroe St,41.88096,-87.616745,POINT (-87.61674499999999 41.88096),60601
13303,Clark St & Chicago Ave,41.89675,-87.63089,POINT (-87.63088999999999 41.89675),60610
13304,Racine Ave & 15th St,41.861286,-87.656425,POINT (-87.656425 41.861286),60612
13307,Laflin St & Cullerton St,41.854916,-87.66356,POINT (-87.66356 41.854916),60608
13319,Ashland Ave & Grace St,41.950687,-87.6687,POINT (-87.6687 41.950687),60613
13323,Broadway & Sheridan Rd,41.95283,-87.649994,POINT (-87.64999400000001 41.95283),60613
13325,Broadway & Waveland Ave,41.949074,-87.648636,POINT (-87.648636 41.949074),60613
13326,Canal St & Harrison St,41.874256,-87.63957,POINT (-87.63957000000001 41.874256),60699
13331,May St & Cullerton St,41.85518,-87.654144,POINT (-87.654144 41.85518),60608
13332,Loomis St & Lexington St,41.87219,-87.6615,POINT (-87.6615 41.87219),60607
13338,Mies van der Rohe Way & Chicago Ave,41.89691,-87.62174,POINT (-87.62174 41.89691),60611
13341,Canal St & Madison St,41.88209,-87.63983,POINT (-87.63983 41.88209),60661
13345,Calumet Ave & 35th St,41.83142,-87.618,POINT (-87.61799999999999 41.83142),60616
13353,Ada St & Washington Blvd,41.88283,-87.66121,POINT (-87.66121 41.88283),60612
13354,Ashland Ave & 13th St,41.865276,-87.66657,POINT (-87.66656999999999 41.865276),60612
13379,Clarendon Ave & Gordon Ter,41.958473,-87.64963,POINT (-87.64963 41.958473),60613
13389,Clarendon Ave & Junior Ter,41.96102,-87.64959,POINT (-87.64959 41.96102),60613
