endid,endname,end_lat,end_long,geometry,zipcode
437.0,Berkshire Street at Cambridge Street,42.372078,-71.08995,POINT (-71.08995 42.372078),2141
440.0,Boston Landing,42.35656,-71.14168,POINT (-71.14167999999999 42.35656),2135
441.0,Sullivan Square,42.384453,-71.07515,POINT (-71.07514999999999 42.384453),2129
442.0,Hyde Park Ave at Walk Hill St,42.296066,-71.11601,POINT (-71.11601 42.296066),2130
443.0,Whittier St Health Center,42.332863,-71.092186,POINT (-71.092186 42.332863),2120
445.0,Geiger Gibson Community Health Center,42.318863,-71.045364,POINT (-71.04536400000001 42.318863),2125
446.0,700 Commonwealth Ave.,42.34961,-71.10391,POINT (-71.10391 42.34961),2215
447.0,The Overlook at St. Gabriel's,42.34679,-71.1455,POINT (-71.1455 42.34679),2135
448.0,Hale Park,42.414963,-71.052795,POINT (-71.052795 42.414963),2149
452.0,Beacon St at St. Paul St,42.34373,-71.11614,POINT (-71.11614 42.34373),2446
455.0,Coolidge Sq.,42.372078,-71.15683,POINT (-71.15683 42.372078),2472
456.0,Graham and Parks School – Linnaean St at Walker St,42.382946,-71.1245,POINT (-71.1245 42.382946),2138
457.0,N. Beacon St at N. Beacon Ct,42.36444,-71.180916,POINT (-71.180916 42.36444),2472
458.0,Watertown Sq,42.36526,-71.18573,POINT (-71.18573000000001 42.36526),2472
463.0,Smith Pl at Wilson Rd,42.3924,-71.15058,POINT (-71.15058000000001 42.3924),2138
466.0,Centre St at Washington St,42.355743,-71.18642,POINT (-71.18642 42.355743),2458
467.0,Washington St at Crafts St,42.35389,-71.19944,POINT (-71.19944 42.35389),2458
468.0,Nonantum Library,42.360683,-71.20146,POINT (-71.20146 42.360683),2458
469.0,Bacon St at Washington St,42.35712,-71.18604,POINT (-71.18604000000001 42.35712),2458
470.0,Union St at Herrick Rd – Newton Centre Green Line,42.329567,-71.19367,POINT (-71.19367 42.329567),2459
471.0,MIT Carleton St at Amherst St,42.360542,-71.0867,POINT (-71.08669999999999 42.360542),2142
472.0,MIT Hayward St at Amherst St,42.36086,-71.08552,POINT (-71.08552 42.36086),2142
473.0,West Newton,42.3496,-71.22627,POINT (-71.22627 42.3496),2465
474.0,West Newton Armory,42.349472,-71.22001,POINT (-71.22001 42.349472),2465
475.0,Arsenal Yards,42.362774,-71.157646,POINT (-71.157646 42.362774),2472
476.0,Boylston St at Charles St,42.352577,-71.06764,POINT (-71.06764 42.352577),2116
1.0,18 Dorrance Warehouse,42.38715,-71.07598,POINT (-71.07598 42.38715),2129
