endid,endname,end_lat,end_long,geometry,zipcode
255,Virginia St at Shattuck Ave,37.87657,-122.26953,POINT (-122.26953 37.87657),94709
256,Hearst Ave at Euclid Ave,37.87511,-122.26055,POINT (-122.26055 37.87511),94709
257,Fifth St at Delaware St,37.870407,-122.299675,POINT (-122.299675 37.870407),94710
258,University Ave at Oxford St,37.872356,-122.26645,POINT (-122.26645 37.872356),94704
259,Addison St at Fourth St,37.86625,-122.29937,POINT (-122.29937 37.86625),94710
26,1st St at Folsom St,37.78729,-122.39438,POINT (-122.39438 37.78729),94105
262,West St at University Ave,37.86997,-122.28653,POINT (-122.28653 37.86997),94702
263,Channing Way at San Pablo Ave,37.862827,-122.29023,POINT (-122.29023 37.862827),94710
265,Ninth St at Parker St,37.858868,-122.29121,POINT (-122.29121 37.858868),94710
266,Parker St at Fulton St,37.862465,-122.26479,POINT (-122.26479 37.862465),94704
267,Derby St at College Ave,37.861805,-122.25357,POINT (-122.25357 37.861805),94705
268,Ellsworth St at Russell St,37.85749,-122.26158,POINT (-122.26158 37.85749),94705
269,Telegraph Ave at Carleton St,37.86232,-122.258804,POINT (-122.258804 37.86232),94704
27,Beale St at Harrison St,37.78806,-122.39187,POINT (-122.39187 37.78806),94105
270,Ninth St at Heinz Ave,37.85349,-122.28941,POINT (-122.28941 37.85349),94710
271,San Pablo Park,37.85578,-122.28313,POINT (-122.28313 37.85578),94702
272,Woolsey St at Sacramento St,37.85058,-122.278175,POINT (-122.278175 37.85058),94702
273,Fulton St at Ashby Ave,37.855576,-122.263565,POINT (-122.263565 37.855576),94705
274,Oregon St at Adeline St,37.857567,-122.267555,POINT (-122.267555 37.857567),94703
275,Julian St at 6th St,37.343,-121.888885,POINT (-121.888885 37.343),95112
276,Julian St at The Alameda,37.332233,-121.91251,POINT (-121.91251 37.332233),95126
277,W Julian St at N Morrison St,37.333675,-121.908615,POINT (-121.908615 37.333675),95126
278,The Alameda at Bush St,37.331932,-121.90489,POINT (-121.90489 37.331932),95126
279,Santa Clara St at 7th St,37.339146,-121.8841,POINT (-121.8841 37.339146),95112
28,The Embarcadero at Bryant St,37.787167,-122.3881,POINT (-122.3881 37.787167),94105
280,San Fernando at 7th St,37.337246,-121.88307,POINT (-121.88307 37.337246),95112
281,9th St at San Fernando,37.338394,-121.8808,POINT (-121.8808 37.338394),95112
282,Market St at Park St,37.332428,-121.89035,POINT (-121.89035 37.332428),95113
283,Delmas Ave and San Fernando St,37.330265,-121.897705,POINT (-121.897705 37.330265),95110
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.784874,-122.40088,POINT (-122.40088 37.784874),94103
285,Webster St at O'Farrell St,37.78352,-122.43116,POINT (-122.43116 37.78352),94115
286,San Carlos St at 11th St,37.336468,-121.87661,POINT (-121.87661 37.336468),95112
287,Almaden Blvd at Balbach St,37.32673,-121.889275,POINT (-121.889275 37.32673),95110
288,Mission St at 1st St,37.350964,-121.902016,POINT (-121.902016 37.350964),95112
289,5th St at Taylor St,37.350903,-121.89584,POINT (-121.89584 37.350903),95112
29,O'Farrell St at Divisadero St,37.782406,-122.439445,POINT (-122.439445 37.782406),94115
290,George St at 1st St,37.34759,-121.89966,POINT (-121.89966 37.34759),95110
291,Autumn Parkway at Coleman Ave,37.341335,-121.90318,POINT (-121.90318 37.341335),95110
292,Empire St at 1st St,37.344883,-121.896965,POINT (-121.896965 37.344883),95112
293,W St John St at Guadalupe River Trail,37.33539,-121.89792,POINT (-121.89792 37.33539),95110
